first_name,second_name,goals_scored,attempted_passes,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Joseph,Gomez,0,,0,2,90,1,11.8,14.0,0.0,0,10,2.6,0,0,0,1.2,54,2
Joel,Matip,1,,0,17,270,2,13.4,95.8,23.0,1,65,13.3,1,0,0,3.2,54,2
Dejan,Lovren,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,54,2
Roberto,Firmino,2,,2,27,344,3,54.7,131.6,269.0,5,108,45.5,1,0,0,11.7,95,4
Divock,Origi,1,,1,14,89,2,27.8,45.6,23.0,3,51,9.6,0,0,0,5.0,55,4
Alisson,Ramses Becker,0,,0,1,38,0,0.0,5.6,0.0,0,7,0.6,0,0,0,7.0,58,1
Simon,Mignolet,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,1
Mohamed,Salah,3,,2,36,348,2,106.5,155.4,193.0,5,98,45.5,2,0,0,42.9,125,3
Sadio,Mané,2,,1,25,266,1,125.1,131.0,111.0,3,81,36.7,2,0,0,18.8,115,3
Alex,Oxlade-Chamberlain,0,,0,4,120,2,14.6,19.2,19.0,0,22,5.3,0,0,0,0.4,64,3
Xherdan,Shaqiri,0,,0,1,5,0,0.2,0.2,8.0,0,3,0.8,0,0,0,0.3,63,3
Adam,Lallana,0,,0,1,4,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,59,3
Naby,Keita,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59,3
Fabio Henrique,Tavares,0,,1,12,286,3,75.9,76.4,10.0,2,67,16.2,1,0,1,1.5,55,3
Jordan,Henderson,0,,0,8,251,2,33.0,34.0,65.0,0,45,13.2,1,0,0,0.9,55,3
Georginio,Wijnaldum,0,,0,10,338,2,29.1,32.4,27.0,0,46,8.8,2,0,0,2.2,55,3
James,Milner,0,,1,8,98,1,25.8,25.2,17.0,0,26,6.9,1,0,0,0.8,55,3
Rafael,Camacho,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3
Rhian,Brewster,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,4
Adrián,San Miguel del Castillo,0,,0,12,321,3,0.0,52.8,0.0,0,54,5.3,1,0,0,5.6,46,1
Andy,Lonergan,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,1
Caoimhin,Kelleher,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,1
Aymeric,Laporte,0,,0,9,306,3,27.4,63.0,19.0,0,56,10.9,1,0,1,6.3,65,2
Kyle,Walker,0,,1,16,359,3,61.9,56.8,34.0,0,82,15.3,2,0,2,19.5,60,2
Benjamin,Mendy,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59,2
Oleksandr,Zinchenko,0,,0,15,360,3,115.3,69.2,16.0,0,83,20.1,2,0,0,13.4,56,2
John,Stones,0,,0,6,90,0,0.8,18.8,0.0,0,33,2.0,1,0,0,1.6,54,2
Nicolás,Otamendi,0,,0,8,270,3,14.4,55.4,97.0,0,44,16.6,1,0,1,1.5,54,2
Danilo Luiz,da Silva,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,2
