assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,2,108,None,None,2,114283,0,0,-1,1,189.4,0,3,2.5,2.0,6,Jack,3.0,9,0,39.8,29,False,150.2,540,,None,59,0,0,0,114283.jpg,3.3,0,0,Grealish,4.0,False,None,a,2,7,58.0,20,99092,11772,217599,16946,0.5,3.4,Grealish,2
1,0,54,100,100,1,193488,0,0,0,0,84.2,0,3,3.0,2.5,5,Anwar,3.5,8,1,32.2,30,False,91.0,352,,2019-08-04T16:30:15.264156Z,55,0,0,0,193488.jpg,3.6,0,0,El Ghazi,0.4,False,None,a,2,7,145.0,18,25245,3624,25218,2223,0.6,3.3,El Ghazi,0
1,3,100,None,None,2,122806,1,-1,2,-2,117.3,0,3,4.7,4.2,10,John,5.2,9,2,45.4,31,False,180.2,540,,None,57,0,0,0,122806.jpg,5.0,0,0,McGinn,8.0,False,None,a,2,7,157.0,30,585241,126743,260354,22470,0.9,5.4,McGinn,0
0,0,0,0,0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,32,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,None,n,2,7,0.0,0,136,18,1051,45,0.0,0.0,Green,0
0,0,0,0,0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,33,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.1,False,None,u,2,7,0.0,0,370,51,6015,283,0.0,0.0,Bjarnason,0
0,0,11,None,None,0,221239,0,0,0,0,12.1,0,3,0.0,-0.5,0,Keinan,0.5,1,0,2.2,34,False,8.0,39,,None,45,0,0,0,221239.jpg,1.0,0,0,Davis,0.3,False,None,a,2,7,4.0,3,9294,693,14050,1426,0.1,0.7,Davis,0
0,0,5,0,None,0,40564,0,0,-1,1,1.1,0,3,0.0,-0.5,1,Henri,0.5,0,0,0.8,35,False,2.2,9,Ankle injury - Expected back 05 Oct,2019-09-25T23:00:14.221337Z,44,0,0,0,40564.jpg,1.0,0,0,Lansbury,0.8,False,None,i,2,7,4.0,2,63237,3986,29209,6425,0.1,0.5,Lansbury,0
1,0,32,None,None,2,89274,0,0,-1,1,53.7,0,3,2.0,1.5,0,José Ignacio,2.5,3,0,11.6,36,False,41.8,245,,None,59,0,0,0,89274.jpg,2.4,0,0,Peleteiro Romallo,0.2,False,None,a,2,7,21.0,12,10046,630,15849,1829,0.4,2.0,Jota,0
0,0,97,None,None,2,21205,0,0,0,0,0.0,0,1,3.7,3.2,2,Tom,4.2,9,0,10.0,94,False,100.4,540,,None,45,0,0,0,21205.jpg,3.3,0,14,Heaton,6.8,False,None,a,2,7,0.0,20,183681,23409,143700,13296,0.9,4.4,Heaton,0
0,0,0,100,100,0,169359,0,0,-1,1,0.0,0,2,-0.5,-1.0,0,Matt,0.0,0,0,0.0,309,False,0.0,0,,2019-08-27T21:30:10.743130Z,44,0,0,0,169359.jpg,0.0,0,0,Targett,0.4,False,None,a,2,7,0.0,0,1822,149,51141,2089,0.0,0.0,Targett,0
0,4,72,None,None,2,213345,0,0,0,0,42.9,0,4,4.5,4.0,7,Wesley,5.0,7,2,34.0,428,False,101.6,517,,None,60,0,0,0,213345.jpg,4.0,0,0,Moraes,1.8,False,None,a,2,7,194.0,24,168656,23748,125428,13002,0.8,4.0,Wesley,0
0,0,0,100,100,0,79852,0,0,-1,1,0.0,0,1,-0.5,-1.0,0,Jed,0.0,0,0,0.0,429,False,0.0,0,,2019-08-05T15:00:10.959066Z,44,0,0,0,79852.jpg,0.0,0,0,Steer,0.1,False,None,a,2,7,0.0,0,702,91,3403,264,0.0,0.0,Steer,0
1,3,124,None,None,2,149484,0,0,1,-1,26.0,0,2,3.3,2.8,1,Tyrone,3.8,9,0,22.0,445,False,182.0,540,,None,46,0,0,0,149484.jpg,3.7,0,0,Mings,6.2,False,None,a,2,7,12.0,22,381914,31423,115802,17518,0.8,4.8,Mings,1
0,0,0,100,100,0,199798,0,0,-1,1,0.0,0,2,-0.5,-1.0,0,Ezri,0.0,0,0,0.0,452,False,0.0,0,,2019-08-05T15:00:10.970602Z,44,0,0,0,199798.jpg,0.0,0,0,Konsa Ngoyo,0.1,False,None,a,2,7,0.0,0,590,46,2330,250,0.0,0.0,Konsa,0
0,4,98,None,None,2,108156,0,0,0,0,2.8,1,2,4.0,3.5,0,Bjorn,4.5,9,0,13.4,455,False,119.4,540,,None,45,0,0,0,108156.jpg,3.3,0,0,Engels,1.1,False,None,a,2,7,11.0,20,78199,16292,23741,7490,1.0,4.4,Engels,1
0,0,52,None,None,2,203368,0,0,-1,1,43.8,0,2,2.7,2.2,1,Frédéric,3.2,4,0,12.8,458,False,55.6,354,,None,44,0,0,0,203368.jpg,3.2,0,0,Guilbert,0.7,False,None,a,2,7,29.0,13,40786,6577,28548,3464,0.7,3.0,Guilbert,2
0,0,0,100,100,1,148508,0,0,-2,2,58.7,0,3,0.0,-0.5,2,Mahmoud Ahmed,0.5,4,0,27.0,465,False,47.0,349,,2019-08-31T16:30:09.941826Z,53,0,0,0,148508.jpg,1.0,1,0,Ibrahim Hassan,1.1,False,None,a,2,7,167.0,5,43940,2706,167442,5585,0.1,0.9,Trézéguet,1
0,2,56,None,None,2,230046,0,0,1,-1,40.5,0,3,1.0,0.5,0,Douglas Luiz,1.5,4,1,13.7,470,False,79.6,267,,None,46,0,0,0,230046.jpg,3.2,0,0,Soares de Paulo,4.4,False,None,a,2,7,16.0,16,389685,6478,173256,34174,0.3,3.5,Douglas Luiz,1
0,0,0,None,None,0,88175,0,0,-1,1,0.0,0,1,-0.5,-1.0,0,Lovre,0.0,0,0,0.0,474,False,0.0,0,,None,44,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,None,a,2,7,0.0,0,620,88,2411,188,0.0,0.0,Kalinic,0
0,0,27,None,None,1,184704,0,0,-1,1,2.5,0,3,0.7,0.2,2,Marvelous,1.2,3,0,4.7,491,False,36.8,164,,None,44,0,0,0,184704.jpg,2.5,0,0,Nakamba,1.0,False,None,a,2,7,7.0,5,64497,25340,21514,6930,0.3,1.1,Nakamba,0
0,0,81,100,100,0,56917,0,0,0,0,21.4,0,2,1.5,1.5,2,Steve,1.5,10,0,17.9,58,False,149.2,540,,2019-07-30T11:30:12.364426Z,50,0,0,0,56917.jpg,1.7,0,0,Cook,0.2,False,None,a,3,91,8.0,10,6327,1111,7732,1024,0.3,2.0,Steve Cook,0
0,0,100,None,None,0,126184,0,0,-1,1,24.3,0,2,3.0,3.0,8,Nathan,3.0,10,1,28.2,59,False,170.0,540,,None,49,0,0,0,126184.jpg,2.5,0,0,Aké,11.9,False,None,a,3,91,88.0,15,132778,41277,497289,19676,0.6,3.1,Aké,1
0,0,18,0,0,0,41320,0,0,-1,1,29.6,0,2,0.0,0.0,0,Charlie,0.2,2,0,5.2,60,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,44,0,0,0,41320.jpg,1.5,0,0,Daniels,0.1,False,None,i,3,91,0.0,3,2979,9,13239,864,0.0,0.7,Daniels,0
0,2,53,100,100,0,223911,0,0,0,0,2.5,1,2,0.8,0.8,0,Chris,0.8,7,1,16.6,61,False,91.6,271,,2019-09-10T14:00:13.321043Z,45,0,0,0,223911.jpg,3.2,0,0,Mepham,1.3,False,None,a,3,91,72.0,13,83848,556,69957,7625,0.2,2.9,Mepham,0
0,0,0,100,25,0,15149,0,0,-1,1,0.0,0,2,0.0,0.0,0,Simon,0.0,0,0,0.0,62,False,0.0,0,,2019-06-25T11:30:06.976202Z,44,0,0,0,15149.jpg,0.0,0,0,Francis,0.0,False,None,a,3,91,0.0,0,166,52,383,21,0.0,0.0,Francis,0
0,0,39,0,0,0,54469,0,0,-1,1,10.0,0,2,0.0,0.0,0,Adam,0.5,7,0,9.9,63,False,26.6,310,Hamstring injury - Unknown return date,2019-08-31T17:30:17.323480Z,44,0,0,0,54469.jpg,1.2,0,0,Smith,0.6,False,None,i,3,91,63.0,5,9117,25,65170,8898,0.1,1.1,Adam Smith,1
0,0,0,100,50,0,235530,0,0,-1,1,0.0,0,2,0.0,0.0,0,Lloyd,0.0,0,0,0.0,64,False,0.0,0,,2019-08-04T16:00:15.955778Z,44,0,0,0,235530.jpg,0.0,0,0,Kelly,0.1,False,None,a,3,91,0.0,0,931,205,4047,238,0.0,0.0,Kelly,0
